Generation	Ne	Frequency	WT	HET	HOM	Fit(WT)	Fit(HET)	Fit(HOM)	Replicate
58013	34039	0.286466	17292	13992	2755	1	1	1	26
58014	34039	0.288478	17204	14031	2804	1	1	1	26
58015	34039	0.288919	17170	14069	2800	1	1	1	26
58016	34039	0.289829	17114	14119	2806	1	1	1	26
58000	34039	0.160434	23992	9172	875	1	1	1	27
58001	34039	0.159846	24014	9168	857	1	1	1	27
58002	17373	0.183532	11870	4629	874	0.5	0.5	1	27
58003	17770	0.210101	11461	5151	1158	0.5	0.5	1	27
58004	17809	0.242349	10684	5618	1507	0.5	0.5	1	27
58005	17887	0.287332	9666	6163	2058	0.5	0.5	1	27
58006	34039	0.286759	17343	13870	2826	1	1	1	27
58007	34039	0.286789	17321	13912	2806	1	1	1	27
58008	34039	0.287215	17265	13995	2779	1	1	1	27
58009	34039	0.284659	17452	13795	2792	1	1	1	27
58010	34039	0.285305	17426	13803	2810	1	1	1	27
58011	34039	0.285966	17294	14022	2723	1	1	1	27
58012	34039	0.283014	17420	13971	2648	1	1	1	27
58013	34039	0.285614	17331	13972	2736	1	1	1	27
58014	34039	0.285408	17476	13696	2867	1	1	1	27
58015	34039	0.283777	17528	13703	2808	1	1	1	27
58016	34039	0.282925	17471	13875	2693	1	1	1	27
58000	34039	0.160434	23992	9172	875	1	1	1	28
58001	34039	0.15873	24062	9148	829	1	1	1	28
58002	17460	0.182932	11940	4652	868	0.5	0.5	1	28
58003	17645	0.207141	11433	5114	1098	0.5	0.5	1	28
58004	17719	0.240871	10664	5574	1481	0.5	0.5	1	28
58005	17911	0.282675	9764	6168	1979	0.5	0.5	1	28
58006	34039	0.284659	17439	13821	2779	1	1	1	28
58007	34039	0.285349	17401	13850	2788	1	1	1	28
58008	34039	0.284659	17399	13901	2739	1	1	1	28
58009	34039	0.283821	17460	13836	2743	1	1	1	28
58010	34039	0.284747	17417	13859	2763	1	1	1	28
58011	34039	0.284247	17456	13815	2768	1	1	1	28
58012	34039	0.284071	17447	13845	2747	1	1	1	28
58013	34039	0.285261	17373	13912	2754	1	1	1	28
58014	34039	0.283998	17423	13898	2718	1	1	1	28
58015	34039	0.280281	17608	13781	2650	1	1	1	28
58016	34039	0.279253	17712	13643	2684	1	1	1	28
58000	34039	0.160434	23992	9172	875	1	1	1	29
