Generation	Ne	Frequency	Replicate
58005	32024	0.157679	58
58006	34039	0.155439	58
58007	34039	0.155175	58
58008	34039	0.154294	58
58009	34039	0.154073	58
58010	34039	0.152399	58
58011	34039	0.151473	58
58012	34039	0.150783	58
58013	34039	0.15137	58
58014	34039	0.149064	58
58015	34039	0.148095	58
58016	34039	0.14808	58
58000	34039	0.160434	59
58001	34039	0.159317	59
58002	9968	0.158808	59
58003	27025	0.158871	59
58004	30555	0.160874	59
58005	31986	0.159273	59
58006	34039	0.160213	59
58007	34039	0.161197	59
58008	34039	0.160742	59
58009	34039	0.163195	59
58010	34039	0.16133	59
58011	34039	0.16086	59
58012	34039	0.161197	59
58013	34039	0.159229	59
58014	34039	0.158142	59
58015	34039	0.157878	59
58016	34039	0.160992	59
58000	34039	0.160434	60
58001	34039	0.163357	60
58002	9929	0.159986	60
58003	26988	0.160145	60
58004	30593	0.160413	60
58005	32033	0.161349	60
58006	34039	0.161139	60
58007	34039	0.161844	60
58008	34039	0.161491	60
58009	34039	0.159258	60
58010	34039	0.160066	60
58011	34039	0.157819	60
58012	34039	0.156071	60
58013	34039	0.15729	60
58014	34039	0.157217	60
58015	34039	0.157231	60
58016	34039	0.156482	60
58000	34039	0.160434	61
58001	34039	0.159596	61
58002	9767	0.159005	61
58003	26828	0.157205	61
58004	30664	0.157383	61
58005	31959	0.156623	61
58006	34039	0.157966	61
58007	34039	0.157481	61
58008	34039	0.155263	61
58009	34039	0.156526	61
58010	34039	0.155704	61
58011	34039	0.155733	61
58012	34039	0.155748	61
58013	34039	0.153985	61
58014	34039	0.155527	61
58015	34039	0.157275	61
58016	34039	0.154881	61
58000	34039	0.160434	62
58001	34039	0.16227	62
58002	9967	0.163841	62
58003	26836	0.163269	62
58004	30537	0.16313	62
58005	32018	0.164251	62
58006	34039	0.164664	62
58007	34039	0.165193	62
58008	34039	0.16318	62
58009	34039	0.164091	62
58010	34039	0.165193	62
58011	34039	0.163107	62
58012	34039	0.162461	62
58013	34039	0.161814	62
58014	34039	0.16224	62
58015	34039	0.161212	62
58016	34039	0.162152	62
58000	34039	0.160434	63
58001	34039	0.158539	63
58002	9906	0.160559	63
58003	26768	0.161835	63
58004	30647	0.163703	63
58005	32089	0.165789	63
58006	34039	0.16509	63
58007	34039	0.166632	63
58008	34039	0.165898	63
58009	34039	0.164723	63
58010	34039	0.164473	63
58011	34039	0.164165	63
58012	34039	0.164649	63
58013	34039	0.164502	63
58014	34039	0.162681	63
