Generation	Ne	Frequency	WT	HET	HOM	Replicate
58009	34039	0.299421	16643	14408	2988	28
58010	34039	0.295044	16937	14118	2984	28
58011	34039	0.292958	17042	14050	2947	28
58012	34039	0.29265	17045	14065	2929	28
58013	34039	0.291225	17090	14072	2877	28
58014	34039	0.292003	17045	14109	2885	28
58015	34039	0.290696	17107	14074	2858	28
58016	34039	0.289594	17236	13891	2912	28
58000	34039	0.160434	23992	9172	875	29
58001	34039	0.162431	23894	9232	913	29
58002	17492	0.183884	11629	5293	570	29
58003	17544	0.210927	10939	5809	796	29
58004	17700	0.243192	10175	6441	1084	29
58005	18047	0.288552	9106	7467	1474	29
58006	34039	0.285232	17328	14004	2707	29
58007	34039	0.28294	17468	13880	2691	29
58008	34039	0.283777	17516	13727	2796	29
58009	34039	0.285114	17374	13920	2745	29
58010	34039	0.283748	17493	13775	2771	29
58011	34039	0.281883	17516	13856	2667	29
58012	34039	0.280017	17617	13781	2641	29
58013	34039	0.279459	17627	13799	2613	29
58014	34039	0.277814	17768	13629	2642	29
58015	34039	0.277109	17800	13613	2626	29
58016	34039	0.277211	17764	13678	2597	29
58000	34039	0.160434	23992	9172	875	30
58001	34039	0.159905	24043	9106	890	30
58002	17402	0.181962	11621	5229	552	30
58003	17548	0.204895	11075	5755	718	30
58004	17757	0.237596	10309	6458	990	30
58005	18023	0.275537	9407	7300	1316	30
58006	34039	0.273569	17947	13560	2532	30
58007	34039	0.274288	17964	13477	2598	30
58008	34039	0.276257	17822	13627	2590	30
58009	34039	0.274685	17931	13516	2592	30
58010	34039	0.275405	17877	13575	2587	30
58011	34039	0.274083	17927	13565	2547	30
58012	34039	0.272467	18035	13459	2545	30
58013	34039	0.271424	18117	13366	2556	30
58014	34039	0.268736	18178	13427	2434	30
58015	34039	0.26596	18314	13344	2381	30
58016	34039	0.266591	18293	13343	2403	30
58000	34039	0.160434	23992	9172	875	31
58001	34039	0.159817	24038	9122	879	31
58002	17307	0.179003	11663	5092	552	31
58003	17559	0.204795	11084	5758	717	31
58004	17820	0.236953	10366	6463	991	31
58005	17966	0.278164	9355	7227	1384	31
58006	34039	0.27683	17824	13584	2631	31
58007	34039	0.276683	17792	13658	2589	31
58008	34039	0.277814	17756	13653	2630	31
58009	34039	0.280707	17638	13692	2709	31
